scan_date,ticker,period,in_weekly_top5,in_pro30,in_movers,weekly_rank,source,composite_score,technical_score,catalyst_score,entry_price,exit_price,max_price,min_price,return_pct,max_return_pct,max_drawdown_pct,trading_days,hit_5pct,hit_10pct,hit_15pct
2025-12-01,BG,5,True,False,False,3.0,weekly_top5,5.0,,,96.42,91.91,97.35,91.63,-4.68,0.96,-4.97,5,False,False,False
2025-12-01,BG,7,True,False,False,3.0,weekly_top5,5.0,,,96.42,91.5,97.35,90.12,-5.1,0.96,-6.53,7,False,False,False
2025-12-01,BG,10,True,False,False,3.0,weekly_top5,5.0,,,96.42,92.59,97.35,90.11,-3.97,0.96,-6.54,10,False,False,False
2025-12-01,BG,14,True,False,False,3.0,weekly_top5,5.0,,,96.42,91.47,97.35,90.11,-5.13,0.96,-6.54,14,False,False,False
2025-12-01,NSC,5,True,False,False,4.0,weekly_top5,4.875,,,289.83,293.0,296.03,287.42,1.09,2.14,-0.83,5,False,False,False
2025-12-01,NSC,7,True,False,False,4.0,weekly_top5,4.875,,,289.83,294.26,296.03,287.42,1.53,2.14,-0.83,7,False,False,False
2025-12-01,NSC,10,True,False,False,4.0,weekly_top5,4.875,,,289.83,299.49,299.84,287.42,3.33,3.45,-0.83,10,False,False,False
2025-12-01,NSC,14,True,False,False,4.0,weekly_top5,4.875,,,289.83,291.41,300.42,287.42,0.55,3.65,-0.83,14,False,False,False
2025-12-01,RIG,5,True,False,False,5.0,weekly_top5,4.75,,,4.35,4.44,4.55,4.21,2.07,4.6,-3.1,5,False,False,False
2025-12-01,RIG,7,True,False,False,5.0,weekly_top5,4.75,,,4.35,4.3,4.56,4.16,-1.15,4.83,-4.37,7,False,False,False
2025-12-01,RIG,10,True,False,False,5.0,weekly_top5,4.75,,,4.35,4.08,4.56,4.04,-6.21,4.83,-7.24,10,False,False,False
2025-12-01,RIG,14,True,False,False,5.0,weekly_top5,4.75,,,4.35,3.97,4.56,3.79,-8.74,4.83,-12.87,14,False,False,False
2025-12-01,MSTR,5,False,True,False,,30d_momentum,,,,171.42,183.69,191.0,176.3,7.16,11.42,2.85,5,True,True,False
2025-12-01,MSTR,7,False,True,False,,30d_momentum,,,,171.42,184.64,198.4,176.3,7.71,15.74,2.85,7,True,True,True
2025-12-01,MSTR,10,False,True,False,,30d_momentum,,,,171.42,162.08,198.4,160.54,-5.45,15.74,-6.35,10,True,True,True
2025-12-01,MSTR,14,False,True,False,,30d_momentum,,,,171.42,164.82,198.4,157.43,-3.85,15.74,-8.16,14,True,True,True
2025-12-02,RIG,5,True,False,False,1.0,weekly_top5,5.375,,,4.31,4.45,4.56,4.35,3.25,5.8,0.93,5,True,False,False
2025-12-02,RIG,7,True,False,False,1.0,weekly_top5,5.375,,,4.31,4.28,4.56,4.16,-0.7,5.8,-3.48,7,True,False,False
2025-12-02,RIG,10,True,False,False,1.0,weekly_top5,5.375,,,4.31,3.84,4.56,3.79,-10.9,5.8,-12.06,10,True,False,False
2025-12-02,RIG,14,True,False,False,1.0,weekly_top5,5.375,,,4.31,4.01,4.56,3.79,-6.96,5.8,-12.06,14,True,False,False
2025-12-02,SPHR,5,True,False,False,2.0,weekly_top5,5.125,,,81.86,87.1,87.45,80.28,6.4,6.83,-1.93,5,True,False,False
2025-12-02,SPHR,7,True,False,False,2.0,weekly_top5,5.125,,,81.86,89.15,89.37,80.28,8.91,9.17,-1.93,7,True,False,False
2025-12-02,SPHR,10,True,False,False,2.0,weekly_top5,5.125,,,81.86,87.5,93.49,80.28,6.89,14.21,-1.93,10,True,True,False
2025-12-02,SPHR,14,True,False,False,2.0,weekly_top5,5.125,,,81.86,95.29,96.73,80.28,16.41,18.17,-1.93,14,True,True,True
2025-12-02,COMM,5,True,False,False,3.0,weekly_top5,5.0,,,19.51,19.93,20.07,18.51,2.15,2.87,-5.13,5,False,False,False
2025-12-02,COMM,7,True,False,False,3.0,weekly_top5,5.0,,,19.51,20.55,20.55,18.51,5.33,5.33,-5.13,7,True,False,False
2025-12-02,COMM,10,True,False,False,3.0,weekly_top5,5.0,,,19.51,18.35,20.55,18.26,-5.95,5.33,-6.41,10,True,False,False
2025-12-02,COMM,14,True,False,False,3.0,weekly_top5,5.0,,,19.51,18.37,20.55,17.61,-5.84,5.33,-9.71,14,True,False,False
2025-12-02,EL,5,True,False,False,4.0,weekly_top5,4.875,,,99.64,102.64,105.78,100.0,3.01,6.16,0.36,5,True,False,False
2025-12-02,EL,7,True,False,False,4.0,weekly_top5,4.875,,,99.64,105.56,109.62,100.0,5.94,10.02,0.36,7,True,True,False
2025-12-02,EL,10,True,False,False,4.0,weekly_top5,4.875,,,99.64,104.39,109.62,100.0,4.77,10.02,0.36,10,True,True,False
2025-12-02,EL,14,True,False,False,4.0,weekly_top5,4.875,,,99.64,108.65,110.37,100.0,9.04,10.77,0.36,14,True,True,False
2025-12-02,FIBK,5,True,False,False,5.0,weekly_top5,4.75,,,32.78,34.2,34.61,32.78,4.33,5.58,,5,True,False,False
2025-12-02,FIBK,7,True,False,False,5.0,weekly_top5,4.75,,,32.78,35.47,36.05,32.78,8.21,9.96,,7,True,False,False
2025-12-02,FIBK,10,True,False,False,5.0,weekly_top5,4.75,,,32.78,35.57,36.05,32.78,8.51,9.96,,10,True,False,False
2025-12-02,FIBK,14,True,False,False,5.0,weekly_top5,4.75,,,32.78,36.07,36.35,32.78,10.04,10.89,,14,True,True,False
2025-12-02,VERA,5,False,True,False,,30d_momentum,,,,37.25,44.66,47.1,36.6,19.89,26.44,-1.74,5,True,True,True
2025-12-02,VERA,7,False,True,False,,30d_momentum,,,,37.25,46.02,47.29,36.6,23.54,26.95,-1.74,7,True,True,True
2025-12-02,VERA,10,False,True,False,,30d_momentum,,,,37.25,48.3,51.19,36.6,29.66,37.42,-1.74,10,True,True,True
2025-12-02,VERA,14,False,True,False,,30d_momentum,,,,37.25,53.78,54.57,36.6,44.38,46.5,-1.74,14,True,True,True
2025-12-03,DLTR,5,True,False,False,1.0,weekly_top5,5.5,,,112.92,124.24,125.79,114.34,10.02,11.4,1.26,5,True,True,False
2025-12-03,DLTR,7,True,False,False,1.0,weekly_top5,5.5,,,112.92,129.87,130.59,114.34,15.01,15.65,1.26,7,True,True,True
2025-12-03,DLTR,10,True,False,False,1.0,weekly_top5,5.5,,,112.92,128.35,132.48,114.34,13.66,17.32,1.26,10,True,True,True
2025-12-03,DLTR,14,True,False,False,1.0,weekly_top5,5.5,,,112.92,119.53,132.48,114.34,5.85,17.32,1.26,14,True,True,True
2025-12-03,CVCO,5,True,False,False,2.0,weekly_top5,5.25,,,586.69,597.39,602.76,550.99,1.82,2.74,-6.08,5,False,False,False
2025-12-03,CVCO,7,True,False,False,2.0,weekly_top5,5.25,,,586.69,597.03,614.11,550.99,1.76,4.67,-6.08,7,False,False,False
2025-12-03,CVCO,10,True,False,False,2.0,weekly_top5,5.25,,,586.69,599.11,614.11,550.99,2.12,4.67,-6.08,10,False,False,False
2025-12-03,CVCO,14,True,False,False,2.0,weekly_top5,5.25,,,586.69,603.54,618.03,550.99,2.87,5.34,-6.08,14,True,False,False
2025-12-03,PATH,5,True,False,False,3.0,weekly_top5,5.25,,,14.86,18.69,19.84,15.75,25.77,33.51,5.99,5,True,True,True
2025-12-03,PATH,7,True,False,False,3.0,weekly_top5,5.25,,,14.86,17.42,19.84,15.75,17.23,33.51,5.99,7,True,True,True
2025-12-03,PATH,10,True,False,False,3.0,weekly_top5,5.25,,,14.86,15.96,19.84,15.75,7.4,33.51,5.99,10,True,True,True
2025-12-03,PATH,14,True,False,False,3.0,weekly_top5,5.25,,,14.86,15.96,19.84,15.68,7.4,33.51,5.52,14,True,True,True
2025-12-03,PSX,5,True,False,False,4.0,weekly_top5,5.25,,,139.85,143.81,143.85,137.17,2.83,2.86,-1.92,5,False,False,False
2025-12-03,PSX,7,True,False,False,4.0,weekly_top5,5.25,,,139.85,141.44,144.96,137.17,1.14,3.65,-1.92,7,False,False,False
2025-12-03,PSX,10,True,False,False,4.0,weekly_top5,5.25,,,139.85,131.99,144.96,130.0,-5.62,3.65,-7.04,10,False,False,False
2025-12-03,PSX,14,True,False,False,4.0,weekly_top5,5.25,,,139.85,129.12,144.96,127.94,-7.67,3.65,-8.52,14,False,False,False
2025-12-03,SPHR,5,True,False,False,5.0,weekly_top5,5.25,,,81.47,86.56,87.98,81.22,6.25,7.99,-0.3,5,True,False,False
2025-12-03,SPHR,7,True,False,False,5.0,weekly_top5,5.25,,,81.47,89.79,93.49,81.22,10.21,14.75,-0.3,7,True,True,False
2025-12-03,SPHR,10,True,False,False,5.0,weekly_top5,5.25,,,81.47,86.27,93.49,81.22,5.89,14.75,-0.3,10,True,True,False
2025-12-03,SPHR,14,True,False,False,5.0,weekly_top5,5.25,,,81.47,93.92,96.73,81.22,15.28,18.73,-0.3,14,True,True,True
2025-12-03,JANX,5,False,True,False,,30d_momentum,,,,17.11,15.58,17.22,15.28,-8.94,0.64,-10.7,5,False,False,False
2025-12-03,JANX,7,False,True,False,,30d_momentum,,,,17.11,15.3,17.22,15.16,-10.58,0.64,-11.4,7,False,False,False
2025-12-03,JANX,10,False,True,False,,30d_momentum,,,,17.11,14.1,17.22,14.02,-17.59,0.64,-18.06,10,False,False,False
2025-12-03,JANX,14,False,True,False,,30d_momentum,,,,17.11,14.12,17.22,13.76,-17.48,0.64,-19.58,14,False,False,False
2025-12-03,AEO,5,False,True,False,,30d_momentum,,,,23.97,24.16,24.7,22.12,0.79,3.02,-7.72,5,False,False,False
2025-12-03,AEO,7,False,True,False,,30d_momentum,,,,23.97,25.46,25.57,22.12,6.22,6.68,-7.72,7,True,False,False
2025-12-03,AEO,10,False,True,False,,30d_momentum,,,,23.97,26.92,27.84,22.12,12.31,16.15,-7.72,10,True,True,True
2025-12-03,AEO,14,False,True,False,,30d_momentum,,,,23.97,26.6,28.15,22.12,10.97,17.44,-7.72,14,True,True,True
2025-12-04,APH,5,True,False,False,1.0,weekly_top5,4.75,,,139.46,139.09,142.27,134.16,-0.27,2.01,-3.8,5,False,False,False
2025-12-04,APH,7,True,False,False,1.0,weekly_top5,4.75,,,139.46,129.9,142.27,128.28,-6.86,2.01,-8.02,7,False,False,False
2025-12-04,APH,10,True,False,False,1.0,weekly_top5,4.75,,,139.46,129.61,142.27,125.38,-7.06,2.01,-10.1,10,False,False,False
2025-12-04,APH,14,True,False,False,1.0,weekly_top5,4.75,,,139.46,137.94,142.27,125.38,-1.09,2.01,-10.1,14,False,False,False
2025-12-04,TTMI,5,True,False,False,2.0,weekly_top5,4.75,,,72.84,80.24,80.58,72.76,10.16,10.63,-0.11,5,True,True,False
2025-12-04,TTMI,7,True,False,False,2.0,weekly_top5,4.75,,,72.84,72.05,80.58,72.0,-1.08,10.63,-1.15,7,True,True,False
2025-12-04,TTMI,10,True,False,False,2.0,weekly_top5,4.75,,,72.84,67.09,80.58,61.38,-7.89,10.63,-15.73,10,True,True,False
2025-12-04,TTMI,14,True,False,False,2.0,weekly_top5,4.75,,,72.84,72.59,80.58,61.38,-0.34,10.63,-15.73,14,True,True,False
2025-12-04,MUR,5,True,False,False,3.0,weekly_top5,5.0,,,32.5,33.52,33.69,31.95,3.14,3.65,-1.71,5,False,False,False
2025-12-04,MUR,7,True,False,False,3.0,weekly_top5,5.0,,,32.5,32.58,34.32,31.93,0.25,5.61,-1.75,7,True,False,False
